번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
610,개방화장실,법제3조제16호-영제3조제1항제1호,산양파출소,경상북도 문경시 산양로 107,경상북도 문경시 산양면 불암리 57-7,1,1,0,0,0,0,1,0,0,문경경찰서,054-550-7325,상시,,,36.61123,128.2585,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
611,개방화장실,법제3조제16호-영제3조제1항제1호,가은파출소,경상북도 문경시 가은읍 가은로 137,경상북도 문경시 가은읍 왕능리 336-4,1,1,0,0,0,0,1,0,0,문경경찰서,054-550-7325,상시,,,36.64309,128.0637,공공기관-국가공공기관,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2023-12-21
612,개방화장실,법제3조제16호-영제3조제1항제1호,농암파출소,경상북도 문경시 농얌면 농암길 78,경상북도 문경시 농암면 농암리 166-2,1,1,0,0,0,0,1,0,0,문경경찰서,054-550-7325,상시,,,36.59846,128.0025,공공기관-국가공공기관,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2023-12-21
613,개방화장실,법제3조제16호-영제3조제1항제1호,호계치안센터,경상북도 문경시 호계면 막곡장터길 19,경상북도 문경시 호계면 막곡리 171-1,1,1,0,0,0,0,1,0,0,문경경찰서,054-550-7325,상시,,,36.63201,128.2061,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
614,개방화장실,법제3조제16호-영제3조제1항제1호,신기치안센터,경상북도 문경시 신기1길 74,경상북도 문경시 신기동 67-58,1,1,0,0,0,0,0,0,0,문경경찰서,054-550-7325,상시,,,36.63774,128.169,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
615,개방화장실,법제3조제16호-영제3조제1항제1호,동로치안센터,경상북도 문경시 동로면 여우목로 2795,경상북도 문경시 동로면 적성리 565,1,1,0,0,0,0,0,0,0,문경경찰서,054-550-7325,상시,,,36.77441,128.3148,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
616,개방화장실,법제3조제16호-영제3조제1항제1호,영순치안센터,경상북도 문경시 영순면 영순로 275,경상북도 문경시 영순면 의곡리 97-1,1,1,0,0,0,0,0,0,0,문경경찰서,054-550-7325,상시,,,36.57958,128.2365,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
617,개방화장실,법제3조제16호-영제3조제1항제1호,문경우체국,경상북도 문경시 중앙8길 11,경상북도 문경시 점촌동 172-3,1,2,1,0,0,0,1,1,0,문경우체국,054-550-1362,정시,"09:00~18:00,12:00~13:00 미개방",,36.59581,128.2014,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
618,개방화장실,법제3조제16호-영제3조제1항제1호,문경농암우체국,경상북도 문경시 농암면 청암2길 10-3,경상북도 문경시 농암면 농암리 121-3,1,1,1,0,0,0,0,1,0,문경농암우체국,054-571-8000,정시,"09:00~18:00,12:00~13:00 미개방",,36.59723,128.0027,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
619,개방화장실,법제3조제16호-영제3조제1항제1호,문경마성우체국,경상북도 문경시 마성면 모곡2길 5,경상북도 문경시 마성면 모곡리 151-2,1,1,0,0,0,0,0,0,0,문경마성우체국,054-571-1002,정시,"09:00~18:00,12:00~13:00 미개방",,36.69296,128.1166,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
620,개방화장실,법제3조제16호-영제3조제1항제1호,문경모전우체국,경상북도 문경시 중앙로 21,경상북도 문경시 모전동 81-18,1,1,0,0,0,0,0,0,0,문경모전동우체국,054-552-8001,정시,"09:00~18:00,12:00~13:00 미개방",,36.58854,128.1932,공공기관-국가공공기관,수세식,Y,N,없음,Y,N,없음,,2023-12-21
621,개방화장실,법제3조제16호-영제3조제1항제1호,문경새재우체국,경상북도 문경시 문경읍 문희로 9,경상북도 문경시 문경읍 하리 199-3,1,1,0,0,0,0,0,0,0,문경새재우체국,054-571-1500,정시,"09:00~18:00,12:00~13:00 미개방",,36.73316,128.108,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
622,개방화장실,법제3조제16호-영제3조제1항제1호,문경신기동우체국,경상북도 문경시 양달마길 3,경상북도 문경시 신기동 1073,1,1,0,0,0,0,0,0,0,문경신기동우체국,054-552-2262,정시,"09:00~18:00,12:00~13:00 미개방",,36.64099,128.1689,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
623,개방화장실,법제3조제16호-영제3조제1항제1호,문경산양우체국,경상북도 문경시 산양면 불암2길 26,경상북도 문경시 산양면 불암리 12-5,1,1,0,0,0,0,0,0,0,문경산양우체국,054-553-4004,정시,"09:00~18:00,12:00~13:00 미개방",,36.6131,128.2579,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
624,개방화장실,법제3조제16호-영제3조제1항제1호,문경산북우체국,경상북도 문경시 산북면 금천로 587,경상북도 문경시 산북면 대상리 36-10,1,1,0,0,0,0,0,0,0,문경산북우체국,054-552-7001,정시,"09:00~18:00,12:00~13:00 미개방",,36.65634,128.259,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
625,개방화장실,법제3조제16호-영제3조제1항제1호,문경영순우체국,경상북도 문경시 영순면 영순로 279,경상북도 문경시 영순면 의곡리 97-3,1,1,0,0,0,0,0,0,0,문경영순우체국,054-552-6000,정시,"09:00~18:00,12:00~13:00 미개방",,36.57932,128.2366,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
626,개방화장실,법제3조제16호-영제3조제1항제1호,문경가은우체국,경상북도 문경시 가은읍 대야로 2492,경상북도 문경시 가은읍 왕능리 275-91,1,1,0,0,0,0,0,0,0,문경가은우체국,054-571-6000,정시,"09:00~18:00,12:00~13:00 미개방",,36.64536,128.0622,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
627,개방화장실,법제3조제16호-영제3조제1항제1호,문경동로우체국,경상북도 문경시 동로면 노은2길 18,경상북도 문경시 동로면 노은리 166,1,1,0,0,0,0,0,0,0,문경동로우체국,054-552-8000,정시,"09:00~18:00,12:00~13:00 미개방",,36.76996,128.315,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
628,개방화장실,법제3조제16호-영제3조제1항제1호,문경호계우체국,경상북도 문경시 호계면 막곡길 10,경상북도 문경시 호계면 막곡리 179-7,1,1,0,0,0,0,0,0,0,문경호계우체국,054-552-5001,정시,"09:00~18:00,12:00~13:00 미개방",,36.63351,128.206,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
629,개방화장실,법제3조제16호-영제3조제1항제1호,문경신흥동우체국,경상북도 문경시 신흥시장길 20,경상북도 문경시 흥덕동 793-9,0,2,0,0,0,0,0,0,0,문경신흥동우체국,054-552-2252,정시,"09:00~18:00,12:00~13:00 미개방",,36.60143,128.2036,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-21
630,공중화장실,법제3조제5호,당포1리 휴식공원,,경상북도 문경시 문경읍 당포리 466-2,1,3,0,0,0,0,1,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.75128,128.1607,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
631,간이화장실,법제3조제16호-영제3조제1항제1호,평천1교,,경상북도 문경시 문경읍 용연리 산118-2,0,1,0,0,0,0,1,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.78317,128.155,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
632,공중화장실,법제3조제16호-영제3조제1항제1호,문경도자기 박물관,경상북도 문경시 문경읍 문경대로 2426,경상북도 문경시 문경읍 진안리 350-7,2,4,1,0,0,0,4,1,0,문경읍 행정복지센터,054-550-8511,상시,,,36.74196,128.0831,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
633,공중화장실,법제3조제16호-영제3조제1항제1호,여우목 고개,,경상북도 문경시 문경읍 중평리 산123,1,2,0,0,0,0,2,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.7954,128.2325,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
634,공중화장실,법제3조제16호-영제3조제1항제1호,지곡리 등산로,,경상북도 문경시 문경읍 지곡리 640,0,1,1,1,0,0,2,1,0,문경읍 행정복지센터,054-550-8511,상시,,,36.75803,128.1152,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
635,공중화장실,법제3조제16호-영제3조제1항제1호,서울대학교병원 인재원,,경상북도 문경시 문경읍 마원리 942-4,1,2,0,0,0,0,2,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.72368,128.116,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
636,공중화장실,법제3조제16호-영제3조제1항제1호,당포1리 주차장,,경상북도 문경시 문경읍 당포리 856,1,1,0,0,0,0,1,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.74814,128.1661,공공기관-지방자치단체,수거식,Y,N,없음,N,N,없음,,2023-12-21
637,공중화장실,법제3조제16호-영제3조제1항제1호,경송정,,경상북도 문경시 문경읍 갈평리 230-1,0,1,1,0,0,0,1,1,0,문경읍 행정복지센터,054-550-8511,상시,,,36.7905,128.1777,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
638,공중화장실,법제3조제3호,문경버스터미널,경상북도 문경시 문경읍 문경읍 새재로 458,경상북도 문경시 문경읍 하리 202-1,2,4,1,0,0,0,4,1,0,문경읍 행정복지센터,054-550-8511,상시,,,36.73377,128.1077,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
639,공중화장실,법제3조제5호,하리2리 어린이공원,경상북도 문경시 문경읍 온천5길 20,경상북도 문경시 문경읍 하리 357-1,0,0,1,1,0,0,2,1,0,문경읍 행정복지센터,054-550-8511,상시,,,36.73319,128.1102,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
640,공중화장실,법제3조제3호,문경택시 승강장,,경상북도 문경시 문경읍 하리 207-11,1,1,0,0,0,0,2,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.73352,128.1079,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
641,공중화장실,법제3조제13호,문경게이트볼장,,경상북도 문경시 문경읍 하리 175-4,1,1,0,0,0,0,2,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.73272,128.106,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
642,공중화장실,법제3조제16호-영제3조제1항제1호,마원성지,경상북도 문경시 문경읍 오서길 73,경상북도 문경시 문경읍 마원리 685-4,1,3,0,0,0,0,4,0,0,문경읍 행정복지센터,054-550-8511,상시,,,36.7239,128.1011,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
643,공중화장실,법제3조제16호-영제3조제1항제1호,하늘재,경상북도 문경시 문경읍 관음길 555,경상북도 문경시 문경읍 관음리 산93,1,1,1,1,0,0,0,1,0,문경읍 행정복지센터,054-550-8511,상시,,,36.81448,128.1117,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
644,공중화장실,법제3조제5호,갈전리 소공원,,경상북도 문경시 가은읍 갈전리 1014-9,1,1,0,0,0,0,1,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.63937,128.0695,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
645,간이화장실,법제3조제2호,견훤유적지,,경상북도 문경시 가은읍 갈전리 888-9,1,1,0,0,0,0,2,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.63055,128.0565,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
646,간이화장실,법제3조제2호,고선사 앞,,경상북도 문경시 가은읍 완장리 781,1,1,0,0,0,0,1,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.67144,127.9714,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
647,공중화장실,법제3조제2호,대야산 주차장(1),,경상북도 문경시 가은읍 완장리 464-1,3,3,0,0,0,0,4,1,0,가은읍 행정복지센터,054-550-8551,상시,,,36.67483,127.9597,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
648,간이화장실,법제3조제2호,대야산 주차장(2),,경상북도 문경시 가은읍 완장리 466-1,1,1,0,0,0,0,2,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.67451,127.96,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
649,공중화장실,법제3조제2호,대야산 주차장(3),,경상북도 문경시 가은읍 완장리 466-1,1,3,0,0,0,0,4,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.67476,127.9592,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
650,간이화장실,법제3조제2호,봉암사 입구,,경상북도 문경시 가은읍 원북리 349-5,1,1,0,0,0,0,2,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.6939,128.018,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
651,공중화장실,법제3조제16호-영제3조제1항제1호,옥천교,,경상북도 문경시 가은읍 하괴리 465-8,1,0,0,0,0,0,0,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.6542,128.0422,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
652,공중화장실,법제3조제16호-영제3조제1항제1호,완장벌바위승강장,,경상북도 문경시 가은읍 완장리 409-5,1,1,0,0,0,0,1,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.67285,127.9686,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
653,공중화장실,법제3조제5호,왕능2리 소공원,,경상북도 문경시 가은읍 왕능리 309-8,1,2,0,0,0,0,3,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.64467,128.0662,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
654,공중화장실,법제3조제16호-영제3조제1항제1호,용추계곡 주차장,,경상북도 문경시 가은읍 완장리 산114,0,2,1,0,0,0,2,0,1,가은읍 행정복지센터,054-550-8551,상시,,,36.6725,127.9617,공공기관-지방자치단체,수거식,Y,N,없음,N,N,없음,,2023-12-21
655,간이화장실,법제3조제16호-영제3조제1항제1호,용추계곡(내)1,,경상북도 문경시 가은읍 완장리 산65-1,1,1,0,0,0,0,1,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.66056,127.9558,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
656,간이화장실,법제3조제16호-영제3조제1항제1호,용추계곡(내)2,,경상북도 문경시 가은읍 완장리 산65-1,1,1,0,0,0,0,1,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.66002,127.9546,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
657,간이화장실,법제3조제16호-영제3조제1항제1호,용추계곡(내)3,,경상북도 문경시 가은읍 완장리 산65-1,1,1,0,0,0,0,0,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.65841,127.9543,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
658,간이화장실,법제3조제16호-영제3조제1항제1호,용추계곡(내)4,,경상북도 문경시 가은읍 완장리 산65-1,2,3,0,0,0,0,4,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.65808,127.9538,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
659,간이화장실,법제3조제16호-영제3조제1항제1호,학천정1주차장,,경상북도 문경시 가은읍 완장리 산54-16,1,1,0,0,0,0,1,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.67187,127.9751,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
660,공중화장실,법제3조제16호-영제3조제1항제1호,학천정2주차장,,경상북도 문경시 가은읍 완장리 산52,1,3,1,0,0,0,3,0,1,가은읍 행정복지센터,054-550-8551,상시,,,36.67138,127.9718,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
661,공중화장실,법제3조제16호-영제3조제1항제1호,학천정 매표소,,경상북도 문경시 가은읍 완장리 산63-43,1,1,0,0,0,0,0,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.672,127.9721,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
662,공중화장실,법제3조제2호,가은팜스테이션(가은역),경상북도 문경시 가은읍 대야로2441,경상북도 문경시 가은읍 왕능리 536,2,3,1,0,0,0,3,0,0,가은읍 행정복지센터,054-550-8551,상시,,,36.64992,128.0604,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
663,공중화장실,법제3조제5호,체육공원,,경상북도 문경시 영순면 말응리 2,1,1,0,0,0,0,0,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.53681,128.2659,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
664,간이화장실,법제3조제16호-영제3조제1항제1호,이목리 제방,,경상북도 문경시 영순면 이목리 181,1,1,1,1,0,0,1,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.55492,128.2839,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
665,공중화장실,법제3조제13호,이목리 야구장,,경상북도 문경시 영순면 이목리 42,2,2,0,0,0,0,2,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.55413,128.2904,공공기관-지방자치단체,수거식,Y,Y,여자화장실,N,N,없음,,2023-12-21
666,간이화장실,법제3조제13호,이목리 야구장 입구,,경상북도 문경시 영순면 이목리 468-1,1,1,0,0,0,0,1,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.55496,128.2885,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
667,공중화장실,법제3조제16호-영제3조제1항제1호,장안지,,경상북도 문경시 영순면 금림리 79,1,1,0,0,0,0,0,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.57287,128.2644,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
668,공중화장실,법제3조제16호-영제3조제1항제1호,금양지,,경상북도 문경시 영순면 금림리 125,1,0,0,0,0,0,1,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.57198,128.2675,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
669,공중화장실,법제3조제16호-영제3조제1항제1호,이목리 제방2,,경상북도 문경시 영순면 이목리 311,1,0,0,0,0,0,1,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.55406,128.2672,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
670,공중화장실,법제3조제16호-영제3조제1항제1호,천마광장,,경상북도 문경시 영순면 의곡리 101-1,1,3,0,0,0,0,4,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.57983,128.2361,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
671,공중화장실,법제3조제16호-영제3조제1항제1호,이목주차장,,경상북도 문경시 영순면 이목리 36,2,3,1,0,0,0,5,0,0,영순면 행정복지센터,054-550-8586,상시,,,36.55429,128.2917,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
672,간이화장실,법제3조제2호,반곡유원지,,경상북도 문경시 산양면 반곡리 775-21,1,1,0,0,0,0,1,0,0,산양면행정복지센터,054-550-8615,상시,,,36.60803,128.2184,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
673,간이화장실,법제3조제16호-영제3조제1항제1호,평지못(1),경상북도 문경시 산양면 산남로 180,경상북도 문경시 산양면 평지리 419-1,1,0,0,0,0,0,1,0,0,산양면행정복지센터,054-550-8615,상시,,,36.59371,128.2331,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
674,간이화장실,법제3조제16호-영제3조제1항제1호,평지못(2),,경상북도 문경시 산양면 평지리 259-6,1,0,0,0,0,0,1,0,0,산양면행정복지센터,054-550-8615,상시,,,36.59381,128.2356,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
675,간이화장실,법제3조제16호-영제3조제1항제1호,"금천둔치
(정미소뒤)",경상북도 문경시 산양면 불암3길 12-6,경상북도 문경시 산양면 불암리 294-1,1,0,0,0,0,0,1,0,0,산양면행정복지센터,054-550-8615,상시,,,36.6116,128.26,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
676,공중화장실,법제3조제16호-영제3조제1항제1호,"금천둔치
(산양교뒤)",경상북도 문경시 산양면 산양로 122-12,경상북도 문경시 산양면 불암리 294-15,1,1,0,0,0,0,2,0,0,산양면행정복지센터,054-550-8615,상시,,,36.6106,128.2601,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
677,간이화장실,법제3조제16호-영제3조제1항제1호,"금천둔치
(방범대옆)",경상북도 문경시 산양면 연소길 11-24,경상북도 문경시 산양면 연소리 515,0,1,0,0,0,0,1,0,0,산양면행정복지센터,054-550-8615,상시,,,36.61393,128.2604,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
678,공중화장실,법제3조제16호-영제3조제1항제1호,불암버스정류장,경상북도 문경시 산양면 산양로 110,경상북도 문경시 산양면 불암리 90-9,2,0,1,0,0,0,2,1,0,산양면행정복지센터,054-550-8615,상시,,,36.61094,128.2588,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
679,공중화장실,법제3조제16호-영제3조제1항제1호,견탄교차로,경상북도 문경시 호계면 상무로 2,경상북도 문경시 호계면 견탄리 553,1,2,0,0,0,0,2,0,0,호계면 행정복지센터,054-550-8652,상시,,,36.64291,128.1526,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
680,공중화장실,법제3조제16호-영제3조제1항제1호,터미널,경상북도 문경시 산북면 금천로 557,경상북도 문경시 산북면 대상리 78-1,1,1,0,0,0,0,1,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.65406,128.2576,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
681,공중화장실,법제3조제16호-영제3조제1항제1호,달곡교,경상북도 문경시 산북면 달곡로 10,경상북도 문경시 산북면 이곡리 113,1,0,0,0,0,0,2,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.68719,128.2552,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
682,간이화장실,법제3조제2호,대성암 앞,,경상북도 문경시 산북면 김용리 산13,1,1,0,0,0,0,1,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.74274,128.2203,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
683,간이화장실,법제3조제2호,대성암 갈림길,,경상북도 문경시 산북면 김용리 산13,1,0,0,0,0,0,1,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.74305,128.2199,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
684,공중화장실,법제3조제2호,김용사 야영장,경상북도 문경시 산북면 김용길 365,경상북도 문경시 산북면 김용리 395-1,2,2,0,0,0,0,3,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.73795,128.2223,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
685,공중화장실,법제3조제2호,김용사 주차장,경상북도 문경시 산북면 김용길 287,경상북도 문경시 산북면 김용리 371,1,5,1,0,0,0,5,1,0,산북면 행정복지센터,054-550-8676,상시,,,36.73181,128.2238,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
686,공중화장실,법제3조제2호,대승사입구,,경상북도 문경시 산북면 전두리 산38-1,1,1,0,0,0,0,1,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.74782,128.2705,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
687,공중화장실,법제3조제2호,경찰전공비,,경상북도 문경시 산북면 내화리 산127-1,1,2,0,0,0,0,1,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.69228,128.2871,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
688,간이화장실,법제3조제16호-영제3조제1항제1호,김용삼거리앞,,경상북도 문경시 산북면 우곡리 365-2,1,1,0,0,0,0,0,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.71252,128.242,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
689,공중화장실,법제3조제2호,장수황씨종택,경상북도 문경시 산북면 금천로 671,경상북도 문경시 산북면 대하리 460-6,1,1,0,0,0,0,2,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.66304,128.2607,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
690,공중화장실,법제3조제16호-영제3조제1항제1호,우곡마을입구,,경상북도 문경시 산북면 우곡리 803,1,2,0,0,0,0,2,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.70279,128.2428,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2023-12-21
691,공중화장실,법제3조제16호-영제3조제1항제1호,주암정,,경상북도 문경시 산북면 서중리 33-5,1,2,0,0,0,0,2,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.63455,128.2539,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
692,공중화장실,법제3조제2호,돌리네습지주차장,,경상북도 문경시 산북면 우곡리 789-1,1,4,1,0,0,0,4,1,0,산북면 행정복지센터,054-550-8676,상시,,,36.69736,128.2236,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
693,간이화장실,법제3조제2호,돌리네습지 초소,,경상북도 문경시 산북면 우곡리 산77-8,1,0,0,0,0,0,1,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.70306,128.2267,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
694,공중화장실,법제3조제5호,대하리 소공원,경상북도 문경시 산북면 금천로 720,경상북도 문경시 산북면 대하리 498-5,1,1,1,0,0,0,2,1,0,산북면 행정복지센터,054-550-8676,상시,,,36.66756,128.2632,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
695,공중화장실,법제3조제13호,게이트볼장옆,경상북도 문경시 산북면 한두리들길 7-3,경상북도 문경시 산북면 대상리 10-17,1,2,0,0,0,0,1,0,0,산북면 행정복지센터,054-550-8676,상시,,,36.65597,128.2602,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-21
696,공중화장실,법제3조제16호-영제3조제1항제1호,경천댐,경상북도 문경시 동로면 금천로 1442,경상북도 문경시 동로면 마광리 488-2,1,1,0,0,0,0,1,0,0,동로면 행정복지센터,054-550-8710,상시,,,36.69353,128.3113,공공기관-지방자치단체,수거식,N,N,없음,N,N,없음,,2023-12-21
697,공중화장실,법제3조제16호-영제3조제1항제1호,용지수상(물빛광장),경상북도 문경시 동로면 금천로 1704,경상북도 문경시 동로면 인곡리 789,1,3,0,0,0,0,2,0,0,동로면 행정복지센터,054-550-8710,상시,,,36.71264,128.3018,공공기관-지방자치단체,수거식,N,Y,여자화장실,N,N,없음,,2023-12-21
